,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
20,"[[0], [2], [3], [], [], [], [1], []]",4.2399600503597545,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.32117382410349404**0.16620584795167137),[0.32117382 0.16620585],4.095101050068124,"{'fitness 25': 3.509929767380996, 'fitness 53': 4.2399600503597545, 'fitness 74': 4.257705007200707, 'fitness 102': 4.517668375622669}",False
21,"[[0], [3], [], [], [], [], [1], []]",4.2436621612784835,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.8233914115086182,[0.82339141],4.098902428220177,"{'fitness 25': 3.513839894287962, 'fitness 53': 4.2436621612784835, 'fitness 74': 4.261470423543708, 'fitness 102': 4.521396966828863}",False
22,"[[0], [2], [3], [], [], [], [0], [0]]",4.263229186060177,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.7737620682191739),[0.77376207],4.110383539685757,"{'fitness 25': 3.5179094644419195, 'fitness 53': 4.263229186060177, 'fitness 74': 4.269748428600948, 'fitness 102': 4.543492726014404}",False
23,"[[0], [2], [3], [], [], [], [0], [0]]",4.263999276213637,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.7788267137266476),[0.77882671],4.1111400011649915,"{'fitness 25': 3.5186525021079045, 'fitness 53': 4.263999276213637, 'fitness 74': 4.270482499891011, 'fitness 102': 4.5442850014960605}",False
24,"[[0], [0], [0, 3], [2, 2], [0, 0], [3, 3, 0, 0], [1, 0, 0, 0, 0], [1, 1, 0, 0]]",4.294800803121057,7,(Constant/x[1]**Constant)/(x[1]+x[0]**Constant)+x[0],"[1, 1, 2, 2, 2, 4, 5, 4]",(0.2648536912159646/x[1]**0.19802549431794525)/(x[1]+x[0]**0.6046273707461557)+x[0],[0.26485369 0.19802549 0.60462737],4.141436578015842,"{'fitness 25': 3.5484332892663293, 'fitness 53': 4.294800803121057, 'fitness 74': 4.299862444514044, 'fitness 102': 4.576014000267152}",False
25,"[[0], [3], [], [], [], [], [0], [0]]",4.2948212870829865,4,x[0],"[1, 1, 0, 0, 0, 0, 1, 1]",x[0],[],4.141458419124425,"{'fitness 25': 3.548449527703945, 'fitness 53': 4.2948212870829865, 'fitness 74': 4.299886408130533, 'fitness 102': 4.576039321538798}",False
26,"[[0], [0], [1, 2], [0, 3, 0], [2, 2, 2, 2], [0, 3, 3, 3], [1, 0, 0, 0, 0], [0, 1, 0, 0]]",4.315078543871294,7,(Constant+x[0]/x[1])/(x[0]/x[0]**Constant),"[1, 1, 2, 3, 4, 4, 5, 4]",(0.5549867244808127+x[0]/x[1])/(x[0]/x[0]**0.25431134423433077),[0.55498672 0.25431134],4.183370010318826,"{'fitness 25': 3.6096584064170316, 'fitness 53': 4.315078543871294, 'fitness 74': 4.348365753483198, 'fitness 102': 4.592085871056249}",False
27,"[[0], [1], [1, 2], [1, 3, 3], [2, 0], [2, 3, 0, 2], [1, 0, 0, 0, 0], [1, 1, 0, 0]]",4.340116929735128,7,(((Constant*x[1]/x[1])+x[0])*(x[0]**Constant)),"[1, 1, 2, 3, 2, 4, 5, 4]",(((0.03523042876525184*x[1]/x[1])+x[0])*(x[0]**0.669185192740515)),[0.03523043 0.66918519],4.185026209885475,"{'fitness 25': 3.590462482565005, 'fitness 53': 4.340116929735128, 'fitness 74': 4.34124917965496, 'fitness 102': 4.6233669674364615}",False
28,"[[0], [3], [], [], [], [], [1], []]",4.349384842562723,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.6933567847395788,[0.69335678],4.207391077491712,"{'fitness 25': 3.6254214365176707, 'fitness 53': 4.349384842562723, 'fitness 74': 4.368940764318825, 'fitness 102': 4.62781103163864}",False
29,"[[0], [2], [3], [], [], [], [1], []]",4.3506759134314645,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.12856231227902037**0.17963320911663472),[0.12856231 0.17963321],4.208715120299032,"{'fitness 25': 3.626783065650569, 'fitness 53': 4.3506759134314645, 'fitness 74': 4.3702524837960635, 'fitness 102': 4.629109811450464}",False
30,"[[0], [3], [], [], [], [], [1], []]",4.411047405924418,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.6182426156883502,[0.61824262],4.270607364117498,"{'fitness 25': 3.690426774516515, 'fitness 53': 4.411047405924418, 'fitness 74': 4.431571800796357, 'fitness 102': 4.689823517039621}",False
31,"[[0], [2], [3], [], [], [], [1], []]",4.430129559081559,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.5047971313338837**0.7592560080493227),[0.50479713 0.75925601],4.2901617533826,"{'fitness 25': 3.710532083599131, 'fitness 53': 4.430129559081559, 'fitness 74': 4.450946502577143, 'fitness 102': 4.709006673971528}",False
32,"[[0], [2], [3], [], [], [], [1], []]",4.465974481122362,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.00514792966179467**0.11285603404747269),[0.00514793 0.11285603],4.326883023160758,"{'fitness 25': 3.7482844149955223, 'fitness 53': 4.465974481122362, 'fitness 74': 4.487332141784979, 'fitness 102': 4.745032512701774}",False
33,"[[0], [1], [2, 2], [2, 0], [2, 1, 0], [1, 3, 1, 1], [1, 1, 1, 1, 1], []]",4.593009487999256,6,(((Constant**Constant)**Constant)-((Constant/Constant)-Constant-Constant**Constant)),"[1, 1, 2, 2, 3, 4, 5, 0]",(((0.09194145222451189**0.49936775374976294)**0.5006199226052717)-((0.6946865606568159/0.4337761191886702)-0.4918961294046431-0.9567025181895042**0.9623580064084762)),"[0.09194145 0.49936775 0.50061992 0.69468656 0.43377612 0.49189613
 0.95670252 0.96235801]",4.456914922829915,"{'fitness 25': 3.8819257299177834, 'fitness 53': 4.593009487999256, 'fitness 74': 4.6161956478374755, 'fitness 102': 4.872623390734486}",False
34,"[[0], [2], [0], [0, 1], [1, 1, 2, 0], [0, 2, 2, 2, 0, 3], [1, 1, 1, 1, 1, 0, 0], [0, 0]]",4.622842270291732,7,((Constant+Constant)*(Constant*Constant)*(Constant+x[0]/x[0])**Constant),"[1, 1, 1, 2, 4, 6, 7, 2]",((0.46382258340748284+0.6760887299502778)*(0.6107567072470583*0.5221703958483628)*(0.004799949096698675+x[0]/x[0])**0.1769421646077577),[0.46382258 0.67608873 0.61075671 0.5221704  0.00479995 0.17694216],4.487427755382248,"{'fitness 25': 3.9132751592063584, 'fitness 53': 4.622842270291732, 'fitness 74': 4.64643907140264, 'fitness 102': 4.902569035537745}",False
35,"[[0], [3], [], [], [], [], [1], []]",4.631285971609718,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.35381116467937923,[0.35381116],4.496062346475679,"{'fitness 25': 3.922145727341262, 'fitness 53': 4.631285971609718, 'fitness 74': 4.654997763757835, 'fitness 102': 4.91104354832794}",False
36,"[[0], [1], [0, 2], [1, 1, 0], [0, 2, 0, 0, 2, 0], [0, 1, 0, 2, 1, 0, 1, 1, 2], [1, 1, 1, 1, 0, 1, 0, 0, 1, 1], [0, 1, 1]]",4.632211594814906,7,((Constant+Constant-Constant)+(Constant*x[0]-Constant+x[1])-(x[1]-Constant*Constant**Constant)),"[1, 1, 2, 3, 6, 9, 10, 3]",((0.7657547315932457+0.5838250944875316-0.9689560893841407)+(0.9231002607612943*x[0]-0.8915500638016192+x[1])-(x[1]-0.6057999217256456*0.027664365943139035**0.40879435935050945)),"[0.76575473 0.58382509 0.96895609 0.92310026 0.89155006 0.60579992
 0.02766437 0.40879436]",4.488097368218603,"{'fitness 25': 3.904393123871219, 'fitness 53': 4.632211594814906, 'fitness 74': 4.643761368027912, 'fitness 102': 4.916137612756677}",False
37,"[[0], [3], [], [], [], [], [1], []]",4.6328269629469485,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.35198030929333646,[0.35198031],4.497638100543594,"{'fitness 25': 3.923764508710118, 'fitness 53': 4.6328269629469485, 'fitness 74': 4.656559683069456, 'fitness 102': 4.91259010985121}",False
38,"[[0], [1], [3, 1], [2, 1], [0, 1, 2], [0, 3, 2, 1, 3], [1, 1, 0, 1, 1, 1], [0]]",4.667873083833056,7,(Constant+((Constant/x[0]**Constant)*((Constant-Constant)/Constant))),"[1, 1, 2, 2, 3, 5, 6, 1]",(0.41272053598927405+((0.06916428676029152/x[0]**0.8003920292605976)*((0.2176879429713705-0.5094471966766295)/0.2655697506331265))),[0.41272054 0.06916429 0.80039203 0.21768794 0.5094472  0.26556975],4.531821240427002,"{'fitness 25': 3.957611363948099, 'fitness 53': 4.667873083833056, 'fitness 74': 4.689904862921259, 'fitness 102': 4.947947494411647}",False
39,"[[0], [3], [], [], [], [], [1], []]",4.669021336319683,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.3090489821851877,[0.30904898],4.534642371508811,"{'fitness 25': 3.9617758909865946, 'fitness 53': 4.669021336319683, 'fitness 74': 4.693240516059263, 'fitness 102': 4.948910707480575}",False
40,"[[0], [0], [2, 1], [0, 1, 3], [1, 1, 2, 2], [2, 3, 3, 1, 1, 2], [1, 1, 0, 0, 1, 1, 1], [0, 0]]",4.6847229794103376,7,((Constant*Constant)/(x[0]/x[0])**Constant)-((Constant-Constant)*Constant),"[1, 1, 2, 3, 4, 6, 7, 2]",((0.3714238694241294*0.8379593149863116)/(x[0]/x[0])**0.02467807784631637)-((0.3569496252369315-0.3314314958279354)*0.8139894115057719),[0.37142387 0.83795931 0.02467808 0.35694963 0.3314315  0.81398941],4.550691462777017,"{'fitness 25': 3.9782597635882033, 'fitness 53': 4.6847229794103376, 'fitness 74': 4.7091502006651496, 'fitness 102': 4.964664424077698}",False
41,"[[0], [3], [], [], [], [], [1], []]",4.696712109793128,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.2762945899206982,[0.27629459],4.56294432201832,"{'fitness 25': 3.9908437278020696, 'fitness 53': 4.696712109793128, 'fitness 74': 4.721296985869115, 'fitness 102': 4.976692252383775}",False
42,"[[0], [0], [3, 1], [2, 0], [1, 2, 2], [3, 0, 2, 0], [1, 1, 1, 0, 0], [0, 0]]",4.736414225967533,7,Constant/(((Constant+Constant)**Constant)*x[0]+x[0]),"[1, 1, 2, 2, 3, 4, 5, 2]",0.32176176474801266/(((0.21087916557982977+0.9492200277647851)**0.31025850617722295)*x[0]+x[0]),[0.32176176 0.21087917 0.94922003 0.31025851],4.608337769341499,"{'fitness 25': 4.0411589975636435, 'fitness 53': 4.736414225967533, 'fitness 74': 4.767849060887573, 'fitness 102': 5.016005249573281}",False
43,"[[0], [2], [2], [1], [1, 1], [2, 3, 3], [1, 1, 0, 1], [0]]",4.738342336103487,7,((((Constant*Constant)/(x[0]/Constant))**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 1]",((((0.9565017625716459*0.0868647640636373)/(x[0]/0.575269928226945))**0.7324659126532977)**0.7497571877591553),[0.95650176 0.08686476 0.57526993 0.73246591 0.74975719],4.607804739453829,"{'fitness 25': 4.03890250285602, 'fitness 53': 4.738342336103487, 'fitness 74': 4.766525550389678, 'fitness 102': 5.0179861651157855}",False
