,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
84,"[[0], [0], [1, 3], [1, 3], [1, 2], [1, 1, 2, 0], [1, 1, 1, 0, 0], [1, 1]]",3582.7288611599447,6,(((Constant-Constant)-Constant)*x[1])+x[1],"[1, 1, 2, 2, 2, 4, 5, 2]",(((0.7161326880108225-0.3404524197353753)-0.40438704145774074)*x[1])+x[1],[0.71613269 0.34045242 0.40438704],3916.9676794384345,"{'fitness 25': 4143.445522923385, 'fitness 53': 3869.0965183780772, 'fitness 74': 3738.360997013841, 'fitness 102': 3582.7288611599447}",False
85,"[[0], [0], [3, 3], [], [], [1], [0, 1], [1]]",3687.9166091385905,5,x[1]-Constant,"[1, 1, 2, 0, 0, 1, 2, 1]",x[1]-0.9429665449708736,[0.94296654],4032.023881077526,"{'fitness 25': 4265.185514349985, 'fitness 53': 3982.7407935608494, 'fitness 74': 3848.1453353217426, 'fitness 102': 3687.9166091385905}",False
86,"[[0], [1], [0, 3], [0, 2], [2, 2, 0], [3, 3, 1, 0], [1, 0, 1, 0, 0], [0, 1, 1]]",3688.7127880482217,7,(Constant/x[0]/(Constant-x[1]**Constant)+x[1]),"[1, 1, 2, 2, 3, 4, 5, 3]",(0.8816572307942605/x[0]/(0.6057326439366971-x[1]**0.8043097767571483)+x[1]),[0.88165723 0.60573264 0.80430978],4032.8273541389513,"{'fitness 25': 4265.99704715107, 'fitness 53': 3983.542893952222, 'fitness 74': 3848.942121313562, 'fitness 102': 3688.7127880482217}",False
87,"[[0], [3], [], [], [], [], [0], [1]]",3688.714103443011,4,x[1],"[1, 1, 0, 0, 0, 0, 1, 1]",x[1],[],4032.8285783970446,"{'fitness 25': 4265.998234465072, 'fitness 53': 3983.5441369536998, 'fitness 74': 3848.943363772364, 'fitness 102': 3688.714103443011}",False
88,"[[0], [1], [3, 3], [], [], [0], [0, 1], [1]]",3689.0130003725635,5,(x[1]+Constant),"[1, 1, 2, 0, 0, 1, 2, 1]",(x[1]+0.3533983013323435),[0.3533983],4033.1301726281176,"{'fitness 25': 4266.302833742882, 'fitness 53': 3983.8452240490624, 'fitness 74': 3849.2424600924087, 'fitness 102': 3689.0130003725635}",False
89,"[[0], [1], [3, 1], [3, 1], [0, 0], [0, 1, 2, 2, 3], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1]]",3689.079368715108,7,(x[1]+(Constant-(Constant*x[1]*x[0]/x[1]))),"[1, 1, 2, 2, 2, 5, 6, 4]",(x[1]+(0.46418032575952284-(0.03185618003409485*x[1]*x[0]/x[1]))),[0.46418033 0.03185618],4033.1975122594317,"{'fitness 25': 4266.371518327371, 'fitness 53': 3983.9124660152, 'fitness 74': 3849.3085524357243, 'fitness 102': 3689.079368715108}",False
90,"[[0], [1], [3, 0], [1, 3], [1, 2], [0, 0, 3, 1], [0, 1, 1, 0, 1], [1, 0]]",3689.384768117853,7,(x[1]+((Constant+Constant)/x[0])-Constant),"[1, 1, 2, 2, 2, 4, 5, 2]",(x[1]+((0.6979810223669538+0.15975054908361808)/x[0])-0.15607907042412972),[0.69798102 0.15975055 0.15607907],4033.5208263752193,"{'fitness 25': 4266.727360062895, 'fitness 53': 3984.2362136678553, 'fitness 74': 3849.5989053949074, 'fitness 102': 3689.384768117853}",False
91,"[[0], [1], [3, 3], [], [], [1], [1, 0], [1]]",3695.1957588546647,5,(Constant-x[1]),"[1, 1, 2, 0, 0, 1, 2, 1]",(0.10358929483305335-x[1]),[0.10358929],4039.1143722258053,"{'fitness 25': 4272.159948955608, 'fitness 53': 3989.9366263652532, 'fitness 74': 3855.246541356554, 'fitness 102': 3695.1957588546647}",False
92,"[[0], [2], [0], [0, 3], [1, 0], [3, 3, 1, 1], [1, 1, 0, 0, 1], [1, 1]]",3695.6244581823667,7,((Constant/Constant)/x[1]-x[1]-Constant**Constant),"[1, 1, 1, 2, 2, 4, 5, 2]",((0.18807500045413106/0.030288124875186395)/x[1]-x[1]-0.33329741499294907**0.8233034481657745),[0.188075   0.03028812 0.33329741 0.82330345],4039.54697690436,"{'fitness 25': 4272.596873244136, 'fitness 53': 3990.3685066898024, 'fitness 74': 3855.675550779141, 'fitness 102': 3695.6244581823667}",False
93,"[[0], [0], [3, 2], [2], [2], [3], [0, 1], [1]]",3841.3534237941753,6,x[1]/((Constant**Constant)**Constant),"[1, 1, 2, 1, 1, 1, 2, 1]",x[1]/((0.9330996892038489**0.9273772264002528)**0.630877354508436),[0.93309969 0.92737723 0.63087735],4199.690758599497,"{'fitness 25': 4442.4979216369975, 'fitness 53': 4148.370919789557, 'fitness 74': 4008.203434371937, 'fitness 102': 3841.3534237941753}",False
94,"[[0], [0], [1, 3], [2, 0], [2, 0, 0], [3, 3, 2, 3, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 1]]",6294.758389182055,7,((x[0]**Constant)/x[0]/x[0]*x[1]/Constant)+Constant,"[1, 1, 2, 2, 3, 5, 6, 4]",((x[0]**0.7063533999469873)/x[0]/x[0]*x[1]/0.7254360975572157)+0.4404517911424102,[0.7063534  0.7254361  0.44045179],7345.0219024379285,"{'fitness 25': 8541.441830820722, 'fitness 53': 7141.101869631825, 'fitness 74': 6352.522006861234, 'fitness 102': 6294.758389182055}",False
95,"[[0], [1], [2, 1], [0, 1, 2], [0, 1, 2, 2, 0], [1, 0, 0, 1, 0, 2, 2], [1, 1, 0, 0, 1, 0, 0, 0], [1, 0, 0, 1, 0]]",6294.829110043597,7,((Constant-Constant+(x[1]+x[0])**Constant)-((Constant+x[0])*(x[1]*x[0]**Constant))),"[1, 1, 2, 3, 5, 7, 8, 5]",((0.28253244920252407-0.30498735664785104+(x[1]+x[0])**0.08304273657265726)-((0.5552574424817599+x[0])*(x[1]*x[0]**0.3765771844133191))),[0.28253245 0.30498736 0.08304274 0.55525744 0.37657718],6711.50649715372,"{'fitness 25': 6888.523004769667, 'fitness 53': 6646.473894261422, 'fitness 74': 6599.52259243007, 'fitness 102': 6294.829110043597}",False
96,"[[0], [1], [0, 3], [3, 3], [], [1, 1], [1, 0, 0], [1, 1]]",7386.590252150408,6,(Constant-x[1]-x[1]),"[1, 1, 2, 2, 0, 2, 3, 2]",(0.8136006772382666-x[1]-x[1]),[0.81360068],8074.52153469179,"{'fitness 25': 8540.670051114126, 'fitness 53': 7976.113300217873, 'fitness 74': 7706.781252743369, 'fitness 102': 7386.590252150408}",False
97,"[[0], [0], [0, 1], [0, 3, 2, 2], [0, 0, 1, 1], [3, 1, 3, 3, 3, 0, 1, 3], [0, 1, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0]]",8599.298037095545,7,x[1]/Constant-x[0]/Constant/x[0]/(((Constant+Constant)**Constant)-((Constant/Constant)**Constant)),"[1, 1, 2, 4, 4, 8, 9, 3]",x[1]/0.42953562333187445-x[0]/0.15950604306770066/x[0]/(((0.18740962595050736+0.6848370428001269)**0.9681686813864825)-((0.6830942716699672/0.17262954037216605)**0.34473149577977646)),"[0.42953562 0.15950604 0.18740963 0.68483704 0.96816868 0.68309427
 0.17262954 0.3447315 ]",9400.36600787247,"{'fitness 25': 9943.198929444823, 'fitness 53': 9285.685272110777, 'fitness 74': 8972.213822061807, 'fitness 102': 8599.298037095545}",False
98,"[[0], [1], [1, 0], [2, 2, 0, 1], [2, 0, 0, 2, 1, 1], [0, 3, 0, 2, 3, 3, 0, 1, 3], [0, 0, 1, 0, 1, 1, 1, 1, 1, 1], [0, 1, 1]]",136531.09685099724,7,(((x[0]**Constant)+(x[1]/Constant**Constant))+x[1]*Constant/Constant/((Constant+Constant)-(Constant/Constant))),"[1, 1, 2, 4, 6, 9, 10, 3]",(((x[0]**0.052465988313537215)+(x[1]/0.45426008948163543**0.08639390299811323))+x[1]*0.425935365721412/0.071403472416121/((0.6003594419860326+0.40074644759396194)-(0.9654307908684095/0.8337934796474363))),"[0.05246599 0.45426009 0.0863939  0.42593537 0.07140347 0.60035944
 0.40074645 0.96543079 0.83379348]",149252.63609483492,"{'fitness 25': 157872.83689646085, 'fitness 53': 147432.13274957877, 'fitness 74': 142452.93863846516, 'fitness 102': 136531.09685099724}",False
99,"[[0], [1], [1, 1], [2, 1, 2, 0], [0, 2, 0, 0, 0, 1], [2, 0, 1, 1, 1, 2, 0, 0, 2, 2], [0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0], [1, 1, 0, 1, 1, 0, 1]]",145673.7584595412,7,(((x[1]*Constant**Constant)+(Constant-x[1]-x[0]))-((x[1]*x[1]**Constant)+Constant+x[0]*(Constant*x[1]))),"[1, 1, 2, 4, 6, 10, 11, 7]",(((x[1]*0.2565734589040721**0.10625578472505237)+(0.2433457026129865-x[1]-x[0]))-((x[1]*x[1]**0.4251463787655032)+0.5885295344456647+x[0]*(0.46024349986702684*x[1]))),[0.25657346 0.10625578 0.2433457  0.42514638 0.58852953 0.4602435 ],164642.05700546372,"{'fitness 25': 177544.81953468474, 'fitness 53': 161863.99687370195, 'fitness 74': 154517.35460800445, 'fitness 102': 145673.7584595412}",False
