,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
73,"[[0], [1], [0, 3], [0, 2, 3], [0, 2, 1, 0, 1, 2], [3, 3, 2, 0, 0, 3, 1, 3], [0, 1, 0, 0, 1, 1], [0, 1, 0, 0, 0]]",5.090191222318992,"[1, 1, 2, 2, 3, 5, 6, 3]",7,(x[0]/Constant/x[1]*((x[0]+Constant)**Constant)+Constant),(x[0]/0.6761607922746324/x[1]*((x[0]+0.7363197778957785)**0.6760144755540247)+0.1424304764262574),[0.67616079 0.73631978 0.67601448 0.14243048],4.585178159285843,"{'fitness 25': 4.109661794496221, 'fitness 53': 4.809955071096619, 'fitness 74': 4.83591761226469, 'fitness 102': 5.090191222318992}",False
74,"[[0], [2], [2, 3], [0, 0, 2], [2, 0, 1, 0], [3, 3, 0, 0, 0, 3, 1, 3], [0, 1, 0, 1, 1, 1, 1, 0], [0, 1, 0]]",5.1875897751027225,"[1, 1, 1, 1, 2, 2, 3, 2]",7,((x[0]/Constant/x[1]**Constant)**Constant),((x[0]/0.8589881753375259/x[1]**0.5832482828503134)**0.7653779621396599),[0.85898818 0.58324828 0.76537796],4.685385290513405,"{'fitness 25': 4.213617475660567, 'fitness 53': 4.908268130285837, 'fitness 74': 4.934270265593808, 'fitness 102': 5.1875897751027225}",False
75,"[[0], [1], [2, 1], [0, 2, 1], [0, 1, 0, 0, 0], [3, 3, 0, 1, 0, 3, 1, 3, 0], [1, 0, 0, 1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 1, 1]]",5.210239761718523,"[1, 1, 2, 3, 5, 9, 10, 5]",7,((Constant/x[0]/(x[1]+Constant)**Constant)-((x[0]+x[0]**Constant)/(x[1]-Constant/Constant+Constant))),((0.781073479592264/x[0]/(x[1]+0.9249310799155303)**0.7371938573444037)-((x[0]+x[0]**0.5654973808697177)/(x[1]-0.5561111831829201/0.48267781377590835+0.3658140071784324))),"[0.78107348 0.92493108 0.73719386 0.56549738 0.55611118 0.48267781
 0.36581401]",4.707819509668403,"{'fitness 25': 4.23596279911875, 'fitness 53': 4.930069422418082, 'fitness 74': 4.957426307468376, 'fitness 102': 5.210239761718523}",False
76,"[[0], [0], [1, 3], [2, 0, 1], [1, 1, 0, 0, 1], [3, 3, 3, 0, 0, 3, 1, 3], [0, 0, 0, 1, 1, 1, 0, 1, 0, 1], [1, 0, 0, 1, 0]]",5.210504583961624,"[1, 1, 2, 2, 3, 6, 7, 4]",7,(((x[1]/x[0])**Constant)/(x[0]/Constant)+Constant+Constant)/x[1],(((x[1]/x[0])**0.2218190522413117)/(x[0]/0.5652807269139267)+0.2948657006403328+0.9673510988362006)/x[1],[0.22181905 0.56528073 0.2948657  0.9673511 ],4.70805159724869,"{'fitness 25': 4.236180474716919, 'fitness 53': 4.930329054759425, 'fitness 74': 4.9576452622697245, 'fitness 102': 5.210504583961624}",False
77,"[[0], [1], [1, 3], [1, 2, 3], [1, 1, 1, 2], [3, 2, 2, 0, 0, 3, 1, 3], [1, 0, 0, 1, 1, 1, 0, 0], [0, 0, 1, 0, 0]]",5.212815632628585,"[1, 1, 2, 2, 3, 6, 7, 3]",7,((((Constant/x[0])*(x[0]*Constant))+((Constant+Constant)**Constant))/x[1]),((((0.7984630992596319/x[0])*(x[0]*0.2645620277277372))+((0.6879024040439252+0.2840023532711592)**0.8084988975967521))/x[1]),[0.7984631  0.26456203 0.6879024  0.28400235 0.8084989 ],4.7099569608441,"{'fitness 25': 4.237799165084326, 'fitness 53': 4.932316340366525, 'fitness 74': 4.959755377081451, 'fitness 102': 5.212815632628585}",False
78,"[[0], [1], [2, 1], [2, 0, 1], [0, 1, 1, 2, 1], [3, 3, 0, 2, 3, 2, 3, 0, 2], [1, 1, 1, 1, 0, 1, 1, 1, 1], [1, 0, 1, 1]]",5.213017319868788,"[1, 1, 2, 3, 5, 8, 9, 1]",7,(((Constant/Constant**Constant)**Constant)/((Constant+Constant)*(x[1]/Constant)*(Constant/(Constant+Constant)))),(((0.2735391453655496/0.9411857638343252**0.17373690365109518)**0.9322842403391552)/((0.15982279981451963+0.7127239195862342)*(x[1]/0.079992313373496)*(0.058705498818527935/(0.5716594458322293+0.9767009920175131)))),"[0.27353915 0.94118576 0.1737369  0.93228424 0.1598228  0.71272392
 0.07999231 0.0587055  0.57165945 0.97670099]",4.71012818281351,"{'fitness 25': 4.237946907021798, 'fitness 53': 4.932489008009574, 'fitness 74': 4.9599486334091605, 'fitness 102': 5.213017319868788}",False
79,"[[0], [0], [0, 1], [3, 1, 1, 3], [0, 1, 1, 1], [2, 0, 2, 2, 2, 1, 2, 0, 3], [0, 0, 1, 1, 1, 0, 0, 1, 1, 1], [0, 1, 0, 0]]",5.213337577998342,"[1, 1, 2, 4, 4, 9, 10, 4]",7,x[0]*(x[1]+Constant*(Constant*Constant))*(((x[0]-x[0])*(Constant+Constant))/Constant),x[0]*(x[1]+0.18628085881730483*(0.6536796235254998*0.4759757736749993))*(((x[0]-x[0])*(0.430790795314847+0.370589900182309))/0.09764337033733494),[0.18628086 0.65367962 0.47597577 0.4307908  0.3705899  0.09764337],4.710400065370469,"{'fitness 25': 4.238181505617622, 'fitness 53': 4.932763185827088, 'fitness 74': 4.960255504666698, 'fitness 102': 5.213337577998342}",False
80,"[[0], [1], [3, 0], [0, 1], [1, 1, 0, 2], [3, 2, 3, 3, 3, 1, 0], [1, 1, 1, 0, 0, 1, 0, 1], [1, 0, 1]]",5.213337933619372,"[1, 1, 2, 2, 4, 7, 8, 3]",7,(Constant/(Constant*Constant)/(x[1]/x[0])/(Constant-x[1]+Constant)),(0.7436415894365854/(0.7039064122146177*0.6204136766493833)/(x[1]/x[0])/(0.7870098796722222-x[1]+0.9940910530411872)),[0.74364159 0.70390641 0.62041368 0.78700988 0.99409105],4.710400331286248,"{'fitness 25': 4.238181699184898, 'fitness 53': 4.932763445585649, 'fitness 74': 4.960255849088195, 'fitness 102': 5.213337933619372}",False
81,"[[0], [0], [2, 1], [3, 3, 2], [2, 1, 1, 1], [1, 3, 0, 2, 3, 2], [0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 1]]",5.534066735909167,"[1, 1, 2, 3, 1, 2, 3, 1]",6,(x[0]**Constant)-(Constant/(Constant**Constant)),(x[0]**0.9087292097562572)-(0.9354371407264807/(0.43882785424932325**0.2873379863651131)),[0.90872921 0.93543714 0.43882785 0.28733799],5.020817731365746,"{'fitness 25': 4.548092643234733, 'fitness 53': 5.247735479270333, 'fitness 74': 5.266625071592173, 'fitness 102': 5.534066735909167}",False
82,"[[0], [0], [2, 1], [2, 0, 1], [2, 1, 0, 1, 1], [3, 3, 1, 2, 3, 2, 2, 0, 2], [1, 1, 1, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0]]",8.667891837334745,"[1, 1, 2, 3, 5, 8, 9, 2]",7,((Constant**Constant)**Constant)/((Constant/Constant)-x[0]*x[0]/((Constant*Constant)*(Constant+Constant))),((0.2415216269621927**0.07716062279663105)**0.8712260531461734)/((0.8372075496660869/0.8496544709928587)-x[0]*x[0]/((0.8386598952526447*0.8454408827767688)*(0.7431345707471404+0.5264023713664584))),"[0.24152163 0.07716062 0.87122605 0.83720755 0.84965447 0.8386599
 0.84544088 0.74313457 0.52640237]",7.305294748223852,"{'fitness 25': 7.236255470370112, 'fitness 53': 7.549985976329721, 'fitness 74': 7.129642797971726, 'fitness 102': 8.667891837334745}",False
