,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
48,"[[0], [3], [], [2, 1, 0, 0], [2, 3], [1, 0, 0, 0], [0]]",57.72309862471313,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.2547543073980283 * (x[1]**0.4170745812209883) * (x[2]),[0.25475431 0.41707458],57.06890725434119,"{'fitness 25': 60.1091062381931, 'fitness 53': 57.72309862471313, 'fitness 74': 55.77783776117098, 'fitness 102': 55.31977776365951}",False
49,"[[0], [3], [], [], [0], [1], []]",57.777055165594035,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6211831681181121 * (x[1]**0.3083910897930904) * (x[2]),[0.62118317 0.30839109],57.11554490566289,"{'fitness 25': 60.20438577345301, 'fitness 53': 57.777055165594035, 'fitness 74': 55.811836979802266, 'fitness 102': 55.33041196373337}",False
50,"[[0], [3], [3, 0], [2, 1, 0, 0], [0, 0, 2, 0, 1], [1, 0, 0, 0], [0]]",58.133285853224734,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.1934583039049581 * (x[1]**0.4403648209760461) * (x[2]),[0.1934583  0.44036482],57.47814988042145,"{'fitness 25': 60.52622487381051, 'fitness 53': 58.133285853224734, 'fitness 74': 56.184856980229, 'fitness 102': 55.723367787224824}",False
51,"[[0], [3], [], [2, 1], [0], [1, 1, 0], [0, 0]]",58.48049293319175,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8134966351074608 * (x[1]**0.2581329129705302) * (x[2]),[0.81349664 0.25813291],57.81307066682123,"{'fitness 25': 60.943759733970445, 'fitness 53': 58.48049293319175, 'fitness 74': 56.498169689095974, 'fitness 102': 55.99728257739728}",False
52,"[[0], [3], [3, 0], [2, 1, 0, 0], [0, 0, 2, 0, 1], [1, 1, 1, 1, 1], [0]]",58.72327800072658,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5013119233164818 * (x[1]**0.30992363573513915) * (x[2]),[0.50131192 0.30992364],58.0577992435689,"{'fitness 25': 61.17685190955427, 'fitness 53': 58.72327800072658, 'fitness 74': 56.74586581107623, 'fitness 102': 56.250680010076195}",False
53,"[[0], [3], [2], [0, 0, 2, 1], [2, 1], [1, 1, 1, 1, 1], [0, 0]]",59.15759695661024,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.6652852992221447 * (x[1]**0.26262707741301994) * (x[2]),[0.6652853  0.26262708],58.48792986342328,"{'fitness 25': 61.636327437392225, 'fitness 53': 59.15759695661024, 'fitness 74': 57.1681582436663, 'fitness 102': 56.65930390921131}",False
54,"[[0], [3], [], [], [0, 0, 3, 3, 0, 2], [1], [0, 0, 0, 0]]",59.32737772120374,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5679118094906808 * (x[1]**0.27624598183708804) * (x[2]),[0.56791181 0.27624598],58.65772408902154,"{'fitness 25': 61.80678933681717, 'fitness 53': 59.32737772120374, 'fitness 74': 57.337721610418235, 'fitness 102': 56.828661319829216}",False
55,"[[0], [3], [3, 1], [], [], [1, 1, 0, 0, 1], [0, 0, 0]]",59.53943190204016,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.7546026227005787 * (x[1]**0.23455352228270177) * (x[2]),[0.75460262 0.23455352],58.8670910960185,"{'fitness 25': 62.03463791511094, 'fitness 53': 59.53943190204016, 'fitness 74': 57.542154017870764, 'fitness 102': 57.02448135507378}",False
56,"[[0], [0], [0, 2], [2, 1, 0, 0], [1, 3, 0, 0], [1, 0, 0, 0, 1], [0, 0, 0]]",59.75796970562488,"[1, 1, 2, 3, 4, 5, 3]",6,Constant-(x[0]/x[0])+(x[0]+Constant**Constant) * (x[1]**Constant) * (x[2]),0.3244820310188473-(x[0]/x[0])+(x[0]+0.4582277975037471**0.11969015110486436) * (x[1]**0.13762406813880235) * (x[2]),[0.32448203 0.4582278  0.11969015 0.13762407],59.068301191251315,"{'fitness 25': 62.30630452916592, 'fitness 53': 59.75796970562488, 'fitness 74': 57.697661497852415, 'fitness 102': 57.20093754673561}",False
57,"[[0], [2], [3, 0], [1, 2], [2], [0, 1, 1, 1, 1], [0]]",59.847763364606,"[1, 1, 1, 0, 0, 1, 1]",5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.9486730515281914) * (x[1]**0.19292877887376847) * (x[2]),[0.94867305 0.19292878],59.15163268584024,"{'fitness 25': 62.41270644552903, 'fitness 53': 59.847763364606, 'fitness 74': 57.76009101123168, 'fitness 102': 57.28210060076}",False
