,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
86,"[[0], [0], [1, 0], [1, 0, 2, 2], [0, 0, 1, 2, 1], [0, 1, 0, 0, 1, 1], [0, 0, 0]]",635.8388646744972,6,((x[0]+Constant)+x[0]-x[0])*Constant-Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 5, 6, 3]",((x[0]+0.7725608526341992)+x[0]-x[0])*0.4106940935664686-0.9756993859564115 * (x[1]**0.8163875847502258) * (x[2]),[0.77256085 0.41069409 0.97569939 0.81638758],629.1555337028659,"{'fitness 25': 673.224271949889, 'fitness 53': 635.8388646744972, 'fitness 74': 617.0623950818551, 'fitness 102': 597.1799340768536}",False
87,"[[0], [3], [], [], [], [1], [0]]",680.3877290779388,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.6517314848520848 * (x[1]**0.893968702326564) * (x[2]),[0.65173148 0.8939687 ],672.6484590086842,"{'fitness 25': 725.9977037871595, 'fitness 53': 680.3877290779388, 'fitness 74': 659.245665476737, 'fitness 102': 632.7020077621559}",False
88,"[[0], [1], [3, 2], [2], [0, 0, 2, 0, 1], [1, 0], [0, 0, 0, 0]]",730.8945563311377,6,(Constant+(x[0]**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 1]",(0.9973234924544715+(x[0]**0.4594392089273841)) * (x[1]**0.769947070081328) * (x[2]),[0.99732349 0.45943921 0.76994707],724.5247750371626,"{'fitness 25': 766.9218221625262, 'fitness 53': 730.8945563311377, 'fitness 74': 716.6432163742813, 'fitness 102': 690.0092865746801}",False
89,"[[0], [3], [], [], [], [1], []]",787.6755567703698,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.861360284597086 * (x[1]**0.8771165661912741) * (x[2]),[0.86136028 0.87711657],778.8725823679121,"{'fitness 25': 839.4396619768474, 'fitness 53': 787.6755567703698, 'fitness 74': 763.5552804866122, 'fitness 102': 733.6228046402766}",False
90,"[[0], [3], [1, 1], [2, 0, 0, 2], [3, 3, 0, 0, 3, 3], [1, 0, 0, 0, 0, 1, 0], []]",965.5136744756743,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.7491126903717088 * (x[1]**0.9157084681361072) * (x[2]),[0.74911269 0.91570847],954.3223762643946,"{'fitness 25': 1030.9635892946599, 'fitness 53': 965.5136744756743, 'fitness 74': 934.898829007247, 'fitness 102': 897.1047104912769}",False
91,"[[0], [1], [0, 1], [0, 2, 1, 1], [0, 0, 2, 0, 1, 1], [1, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0]]",1248.1464969090853,6,(Constant+x[0]+x[0]*((Constant+x[0])-(x[0]-Constant))) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 4]",(0.4068337516657107+x[0]+x[0]*((0.9107447832718092+x[0])-(x[0]-0.14341647335128926))) * (x[1]**0.799622965510977) * (x[2]),[0.40683375 0.91074478 0.14341647 0.79962297],1240.2378195322478,"{'fitness 25': 1289.7592277016975, 'fitness 53': 1248.1464969090853, 'fitness 74': 1240.806407056176, 'fitness 102': 1190.1478238388702}",False
92,"[[0], [2], [3, 3], [], [0], [0], [0]]",1257.5125535558852,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 1]",(x[0]**0.6692834371625371) * (x[1]**0.9082142027316037) * (x[2]),[0.66928344 0.9082142 ],1247.0844661587414,"{'fitness 25': 1308.0119755737126, 'fitness 53': 1257.5125535558852, 'fitness 74': 1244.2643235522587, 'fitness 102': 1188.977099350253}",False
93,"[[0], [2], [3], [], [], [1], [0]]",1482.6799366319515,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 0]",(0.8214660179552807**0.2749984218417797) * (x[1]**0.9359216436513697) * (x[2]),[0.82146602 0.27499842 0.93592164],1465.2087577677178,"{'fitness 25': 1584.238789140558, 'fitness 53': 1482.6799366319515, 'fitness 74': 1434.8271128562103, 'fitness 102': 1376.5603713063852}",False
94,"[[0], [0], [1, 1], [1, 2, 0, 1], [2, 3, 3, 0, 2, 2], [0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0]]",1533.9098099543105,6,((x[0]*x[0])/x[0])/(Constant+Constant*(x[0]*x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 5]",((x[0]*x[0])/x[0])/(0.7064535660882963+0.757541295509634*(x[0]*x[0])) * (x[1]**0.983382156940336) * (x[2]),[0.70645357 0.7575413  0.98338216],1513.8599481249396,"{'fitness 25': 1627.1070020243874, 'fitness 53': 1533.9098099543105, 'fitness 74': 1490.6103307506532, 'fitness 102': 1423.8625115997786}",False
95,"[[0], [3], [2, 1], [0, 2, 0], [3, 3, 0, 0], [1, 0, 1, 0, 0], [0, 0, 0, 0]]",1548.5428755732555,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.8603143345943196 * (x[1]**0.9520485163934839) * (x[2]),[0.86031433 0.95204852],1530.0340920552064,"{'fitness 25': 1656.061033391235, 'fitness 53': 1548.5428755732555, 'fitness 74': 1497.8859295457787, 'fitness 102': 1436.1553132286058}",False
96,"[[0], [3], [], [], [], [0], [0]]",1571.8338547042401,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.9290697581946217) * (x[2]),[0.92906976],1560.565197669136,"{'fitness 25': 1624.9709582829166, 'fitness 53': 1571.8338547042401, 'fitness 74': 1563.9874364236894, 'fitness 102': 1492.7371983008024}",False
97,"[[0], [0], [3, 3], [], [0], [1, 0, 0, 0, 0], [0]]",1682.7462290406922,5,Constant+x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 2, 0, 1, 2, 1]",0.06368107387397015+x[0] * (x[1]**0.9367318393319559) * (x[2]),[0.06368107 0.93673184],1670.5275119349537,"{'fitness 25': 1740.059164580324, 'fitness 53': 1682.7462290406922, 'fitness 74': 1674.054469808692, 'fitness 102': 1597.4689014158455}",False
98,"[[0], [1], [3, 2], [2, 1], [0, 0, 2], [0, 1, 1, 1], [0]]",3372.420495320509,5,(x[0]+(Constant**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 1]",(x[0]+(0.44314002490478477**0.2982873905963681)) * (x[1]**0.9523323079301498) * (x[2]),[0.44314002 0.29828739 0.95233231],3341.1939257204763,"{'fitness 25': 3530.357548199203, 'fitness 53': 3372.420495320509, 'fitness 74': 3320.050226214655, 'fitness 102': 3173.174002747571}",False
99,"[[0], [0], [3, 3], [], [3], [0, 1, 1, 1, 1], [0]]",4905.893977826676,5,x[0]/Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 0, 1, 2, 1]",x[0]/0.3571308982273522 * (x[1]**0.9388633413028313) * (x[2]),[0.3571309  0.93886334],4870.0458582430865,"{'fitness 25': 5073.939822073633, 'fitness 53': 4905.893977826676, 'fitness 74': 4878.377753501729, 'fitness 102': 4657.819999153898}",False
