,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
64,"[[0], [2], [3], [], [], [], [0], [1]]",109.94810711204045,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.5839087122605361),[0.58390871],116.37763864288188,"{'fitness 25': 120.89507661897929, 'fitness 53': 115.45012161407107, 'fitness 74': 112.78771769559522, 'fitness 102': 109.94810711204045}",False
65,"[[0], [2], [0], [0, 0], [2, 2, 1, 1], [2, 2, 2, 1, 1], [1, 1, 0, 1, 0, 0], [1, 0, 0]]",144.70608799896124,7,(Constant*Constant*(x[1]*Constant)-(x[0]-x[0])**Constant),"[1, 1, 1, 2, 4, 5, 6, 3]",(0.635350030122492*0.14572532432031937*(x[1]*0.42781281293577067)-(x[0]-x[0])**0.6439648796942804),[0.63535003 0.14572532 0.42781281 0.64396488],158.32904070737712,"{'fitness 25': 167.56977864180726, 'fitness 53': 156.3714833973666, 'fitness 74': 151.04586008295755, 'fitness 102': 144.70608799896124}",False
66,"[[0], [0], [2, 3], [1], [1, 2], [2, 2, 0], [0, 1, 0, 1], [1, 1]]",154.66176873376747,7,(((x[1]*Constant)*x[1])**Constant)+Constant,"[1, 1, 2, 1, 2, 3, 4, 2]",(((x[1]*0.28922268072062773)*x[1])**0.3371218099945015)+0.685036463188147,[0.28922268 0.33712181 0.68503646],164.8453399488831,"{'fitness 25': 171.91728353861942, 'fitness 53': 163.38284576080585, 'fitness 74': 159.23589054722396, 'fitness 102': 154.66176873376747}",False
67,"[[0], [1], [3, 2], [0], [2, 0], [1, 2, 1], [1, 0, 1, 0], [1, 0]]",239.5441286281802,7,(Constant-(x[1]*Constant-x[0]**Constant)),"[1, 1, 2, 1, 2, 3, 4, 2]",(0.41408802648380416-(x[1]*0.06478832110504507-x[0]**0.18107861620399923)),[0.41408803 0.06478832 0.18107862],261.826800608424,"{'fitness 25': 276.91381028878334, 'fitness 53': 258.6470882933743, 'fitness 74': 249.91950324311438, 'fitness 102': 239.5441286281802}",False
68,"[[0], [1], [2, 2], [2, 0], [1, 2, 1], [2, 3, 3, 2], [1, 1, 1, 1, 1], []]",264.63030141133663,6,((((Constant*Constant)**Constant)**Constant)/(Constant/(Constant*Constant)**Constant)),"[1, 1, 2, 2, 3, 4, 5, 0]",((((0.028418977984507987*0.3747579702524181)**0.747483790598599)**0.08324171977080552)/(0.002626717168953907/(0.8971723370324434*0.24860736320178356)**0.04921143009000095)),"[0.02841898 0.37475797 0.74748379 0.08324172 0.00262672 0.89717234
 0.24860736 0.04921143]",264.66234471182855,"{'fitness 25': 264.7160501964276, 'fitness 53': 264.64343426978274, 'fitness 74': 264.6275496692752, 'fitness 102': 264.63030141133663}",False
69,"[[0], [1], [1, 0], [2, 1, 2, 1], [1, 2, 0, 2, 2, 1], [3, 1, 2, 0, 1, 1, 2, 1], [0, 1, 0, 1, 1, 0, 1, 0, 1], [1, 1, 0, 1]]",918.0755281337766,7,((((x[1]/Constant)**Constant)-(x[1]*Constant+Constant))-(x[0]**Constant)-(Constant*(x[1]-Constant))),"[1, 1, 2, 4, 6, 8, 9, 4]",((((x[1]/0.1829487803909584)**0.34057460689509766)-(x[1]*0.14416173415194955+0.47977549385345586))-(x[0]**0.18239410414318125)-(0.11059815097161252*(x[1]-0.021635880830223497))),"[0.18294878 0.34057461 0.14416173 0.47977549 0.1823941  0.11059815
 0.02163588]",1004.7748952879687,"{'fitness 25': 1063.4541502847815, 'fitness 53': 992.3780102562687, 'fitness 74': 958.4925253228556, 'fitness 102': 918.0755281337766}",False
70,"[[0], [1], [0, 0], [1, 0, 0, 3], [2, 0, 2, 1, 1, 0], [3, 0, 0, 3, 2, 0, 0, 3, 2, 2], [0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1], [1, 1, 0, 1, 0, 0]]",921.2663027851371,7,((x[1]/x[1]+Constant)+Constant/(Constant*Constant)+(x[0]+x[1])/x[0]*x[0]*Constant),"[1, 1, 2, 4, 6, 10, 11, 6]",((x[1]/x[1]+0.5280441150094619)+0.7569956611404254/(0.7660184673049962*0.7677744971760442)+(x[0]+x[1])/x[0]*x[0]*0.24924393650207022),[0.52804412 0.75699566 0.76601847 0.7677745  0.24924394],1007.0281171331729,"{'fitness 25': 1065.1577791961497, 'fitness 53': 994.7452949502674, 'fitness 74': 961.1812772531015, 'fitness 102': 921.2663027851371}",False
71,"[[0], [0], [2, 2], [2, 2], [2, 0], [0, 3], [1, 0, 0], [1, 0]]",1545.183960068799,7,((Constant**Constant)**Constant)+((x[1]/x[0]**Constant)**Constant),"[1, 1, 2, 2, 2, 2, 3, 2]",((0.8159206036819943**0.939127249810827)**0.6285445527076114)+((x[1]/x[0]**0.08373457691998709)**0.8974935869549803),[0.8159206  0.93912725 0.62854455 0.08373458 0.89749359],1679.9966801438386,"{'fitness 25': 1775.243524138906, 'fitness 53': 1660.7409356391863, 'fitness 74': 1604.0055806534233, 'fitness 102': 1545.183960068799}",False
72,"[[0], [1], [2, 1], [0, 0, 1], [2, 1, 1, 2, 2, 1], [3, 0, 1, 1, 0, 0, 1, 2], [0, 0, 0, 0, 0, 1, 1, 0, 1], [1, 0, 1, 1, 0, 1]]",1800.0465877839838,7,((x[1]/(x[0]+x[1])**Constant)-((x[1]-x[0])+Constant+(Constant-(x[1]*Constant)))),"[1, 1, 2, 3, 6, 8, 9, 6]",((x[1]/(x[0]+x[1])**0.5193364311308547)-((x[1]-x[0])+0.43373475966996966+(0.7548999415661127-(x[1]*0.5005170191209048)))),[0.51933643 0.43373476 0.75489994 0.50051702],1969.6343046038576,"{'fitness 25': 2084.471443002885, 'fitness 53': 1945.3776157356829, 'fitness 74': 1879.0538550730053, 'fitness 102': 1800.0465877839838}",False
73,"[[0], [0], [0, 1], [0, 1, 3, 3], [1, 1, 1, 2], [0, 0, 3, 2, 2, 0, 2, 2], [1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 1, 0]]",1907.1425395559936,7,(Constant+x[0])+(x[1]/x[1])*((x[1]*x[0])+x[1])*(x[0]*Constant),"[1, 1, 2, 4, 4, 8, 9, 7]",(0.2863697235426593+x[0])+(x[1]/x[1])*((x[1]*x[0])+x[1])*(x[0]*0.21933920704790166),[0.28636972 0.21933921],2020.5382748726397,"{'fitness 25': 2061.12207137724, 'fitness 53': 2001.5477339839654, 'fitness 74': 1998.945019256714, 'fitness 102': 1907.1425395559936}",False
