,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
81,"[[0], [1], [0, 0], [3, 2, 0, 0], [0, 1, 0, 2, 2], [1, 2, 3, 2, 2, 3, 1, 3], [0, 0, 1, 0, 0, 1, 1, 1, 1], [0, 0, 1, 1]]",3.1634413421732988,"[1, 1, 2, 4, 5, 8, 9, 4]",7,(x[0]-(x[0]*Constant**Constant)/(x[1]*x[1])*Constant/Constant-Constant/Constant),(x[0]-(x[0]*0.8569324154609677**0.8896449177511248)/(x[1]*x[1])*0.24909895827175288/0.03804237311518721-0.5323883696161404/0.24629026984303326),[0.85693242 0.88964492 0.24909896 0.03804237 0.53238837 0.24629027],3.140058466501049,"{'fitness 25': 3.078050553181571, 'fitness 53': 3.1634413421732988, 'fitness 74': 3.164880135972111, 'fitness 102': 3.177244710349466}",False
82,"[[0], [0], [1, 1], [0, 1, 2, 3], [0, 1, 0, 2, 1], [2, 0, 2, 0, 1, 1, 2, 3, 1], [1, 1, 1, 1, 1, 1, 1, 0, 1, 1], [1]]",4.724637668864881,"[1, 1, 2, 4, 5, 9, 10, 1]",7,(Constant*Constant+(Constant*Constant)+(Constant-Constant-Constant))*(((x[1]/Constant)**Constant)-Constant),(0.8648532786663234*0.9676957229392772+(0.2853048833552423*0.4763875823410376)+(0.8767020726874586-0.817047710353465-0.45136894198812993))*(((x[1]/0.7202895824272544)**0.28970252715506906)-0.09781631446573258),"[0.86485328 0.96769572 0.28530488 0.47638758 0.87670207 0.81704771
 0.45136894 0.72028958 0.28970253 0.09781631]",4.7085268975692,"{'fitness 25': 4.940388212905127, 'fitness 53': 4.724637668864881, 'fitness 74': 4.631363639300239, 'fitness 102': 4.553828840502233}",False
83,"[[0], [2], [0, 3], [1, 0], [0, 1, 1, 0], [3, 3, 2, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1, 1, 1], [0, 0, 0, 1]]",5.789310923767191,"[1, 1, 1, 2, 4, 7, 8, 2]",7,((Constant/Constant/(Constant*x[0]))+(x[0]+Constant)+Constant+Constant**Constant),((0.5525684121905432/0.12723160978500847/(0.9516493477754109*x[0]))+(x[0]+0.31071263327694487)+0.171309256066684+0.5101698840767562**0.8157735856397426),"[0.55256841 0.12723161 0.95164935 0.31071263 0.17130926 0.51016988
 0.81577359]",5.74803204915288,"{'fitness 25': 5.828054038556647, 'fitness 53': 5.789310923767191, 'fitness 74': 5.632052201471543, 'fitness 102': 5.783989907430453}",False
84,"[[0], [2], [0], [1, 0], [0, 1, 0, 2], [3, 3, 2, 0, 0, 0], [1, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0]]",6.5223295173193785,"[1, 1, 1, 2, 4, 6, 7, 3]",7,((Constant/x[0]/(Constant*x[0]))+x[0]+Constant+Constant**Constant),((0.6559140093215005/x[0]/(0.23895272584921046*x[0]))+x[0]+0.8238385884164966+0.7801706957940313**0.8449135964706181),[0.65591401 0.23895273 0.82383859 0.7801707  0.8449136 ],6.246324388431257,"{'fitness 25': 6.348944865077461, 'fitness 53': 6.5223295173193785, 'fitness 74': 5.949127975279955, 'fitness 102': 6.440900324936355}",False
85,"[[0], [1], [0, 3], [1, 1], [0, 1, 0, 1], [0, 3, 1, 1, 1, 3, 0, 3], [1, 0, 1, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0]]",9.251717529784383,"[1, 1, 2, 2, 4, 8, 9, 4]",7,((Constant+x[0]/(Constant-x[0]))-(x[0]-Constant/(Constant+x[0]))/Constant),((0.8772554196345728+x[0]/(0.9538141272175504-x[0]))-(x[0]-0.41482485555416826/(0.8906810854710318+x[0]))/0.9445285356106352),[0.87725542 0.95381413 0.41482486 0.89068109 0.94452854],10.519829567241961,"{'fitness 25': 10.990609818604147, 'fitness 53': 9.251717529784383, 'fitness 74': 9.416182583617326, 'fitness 102': 11.15269629950441}",False
86,"[[0], [2], [0, 3], [0, 1], [2, 1, 1, 2], [0, 2, 1, 0, 3], [1, 0, 0, 0, 0, 1], [0, 0, 1, 1]]",12.422060062015836,"[1, 1, 1, 2, 4, 5, 6, 4]",7,(Constant+(x[0]*x[0])-((x[1]+x[1])/Constant)**Constant),(0.9976459359910618+(x[0]*x[0])-((x[1]+x[1])/0.5469850886743333)**0.270464175984087),[0.99764594 0.54698509 0.27046418],12.350698985576196,"{'fitness 25': 12.671295497870377, 'fitness 53': 12.422060062015836, 'fitness 74': 12.251672926888144, 'fitness 102': 12.129128531970066}",False
87,"[[0], [1], [1, 0], [2, 1, 3, 2], [0, 1, 1, 0], [0, 0, 3, 3, 2, 3, 1, 0], [1, 1, 0, 1, 1, 0, 0, 1, 0], [1, 1, 1, 1, 0, 1]]",14.336806218274672,"[1, 1, 2, 4, 4, 8, 9, 4]",7,(((Constant+Constant**Constant)+((x[1]/Constant)/(Constant*x[1])))/x[1]-(Constant+x[1]**Constant)),(((0.5498480842864776+0.10941077796142828**0.8896523120054121)+((x[1]/0.14208827545430514)/(0.12322622396593685*x[1])))/x[1]-(0.11175208878543841+x[1]**0.3118572778183769)),"[0.54984808 0.10941078 0.88965231 0.14208828 0.12322622 0.11175209
 0.31185728]",14.264837656651848,"{'fitness 25': 14.618433504455714, 'fitness 53': 14.336806218274672, 'fitness 74': 14.171178506222887, 'fitness 102': 14.004900959276936}",False
88,"[[0], [2], [1, 2], [1, 1], [0, 1, 1, 1], [0, 0, 3, 2, 2, 3, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1]]",96.48200501720989,"[1, 1, 1, 2, 4, 7, 8, 6]",7,(((x[0]+x[0]+(x[0]/x[0]))*((x[0]*x[1])/(Constant-Constant)))**Constant),(((x[0]+x[0]+(x[0]/x[0]))*((x[0]*x[1])/(0.5456998025795985-0.27788608848992336)))**0.43435040295290406),[0.5456998  0.27788609 0.4343504 ],96.1748601865687,"{'fitness 25': 98.67380147744751, 'fitness 53': 96.48200501720989, 'fitness 74': 96.18857832265867, 'fitness 102': 93.66220075959988}",False
89,"[[0], [2], [1], [2, 3], [0], [0, 1], [0, 0, 1], [1, 1]]",96.79831722140626,"[1, 1, 1, 2, 1, 2, 3, 2]",7,(((x[1]+x[1]**Constant)-Constant)**Constant),(((x[1]+x[1]**0.24125341112311127)-0.7885323589373882)**0.5630284376035661),[0.24125341 0.78853236 0.56302844],96.06261516407379,"{'fitness 25': 101.24995156647988, 'fitness 53': 96.79831722140626, 'fitness 74': 94.62003299264494, 'fitness 102': 92.31786093309654}",False
90,"[[0], [2], [0], [3, 1], [0, 1], [0, 3, 1, 1], [1, 1, 0, 1, 0], [0, 1, 0, 0]]",253.5309817288857,"[1, 1, 1, 2, 2, 4, 5, 2]",7,(Constant+(Constant/x[0]-(Constant-x[1]))**Constant),(0.1725379387186402+(0.9738554673841847/x[0]-(0.7726833527572985-x[1]))**0.67669785157497),[0.17253794 0.97385547 0.77268335 0.67669785],251.27666740224262,"{'fitness 25': 266.78097759195686, 'fitness 53': 253.5309817288857, 'fitness 74': 247.08391953453605, 'fitness 102': 239.96510508023496}",False
91,"[[0], [2], [1, 0], [1, 2, 1, 2], [0, 1, 1], [0, 3, 1, 1, 3], [0, 0, 0, 1, 1, 1], [1, 0, 1, 0]]",488.174439668348,"[1, 1, 1, 2, 3, 5, 6, 3]",7,(((x[1]+x[0]/(x[1]-Constant))-((Constant/Constant)**Constant))**Constant),(((x[1]+x[0]/(x[1]-0.3237177294601108))-((0.5761853391451879/0.8365974422607899)**0.8710336142085723))**0.7540918950416158),[0.32371773 0.57618534 0.83659744 0.87103361 0.7540919 ],483.4189149671144,"{'fitness 25': 515.8388410626569, 'fitness 53': 488.174439668348, 'fitness 74': 474.78648625595207, 'fitness 102': 459.63141758273423}",False
92,"[[0], [0], [0, 3], [3, 1], [0, 1], [0, 3, 1, 1, 1], [1, 1, 0, 1, 0, 1], [0, 1, 0, 0]]",3985.486287104377,"[1, 1, 2, 2, 2, 5, 6, 2]",7,Constant+(Constant/x[0]-(Constant-x[1]))-Constant,0.7661547366150263+(0.08782800363623056/x[0]-(0.16575512939569403-x[1]))-0.40445022451848067,[0.76615474 0.087828   0.16575513 0.40445022],3936.4659491861607,"{'fitness 25': 4267.848063694716, 'fitness 53': 3985.486287104377, 'fitness 74': 3850.842790884183, 'fitness 102': 3690.706992979584}",False
93,"[[0], [2], [0], [1, 0], [0, 1, 0, 2], [3, 3, 2, 0, 0, 0], [1, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0]]",3986.844813407916,"[1, 1, 1, 2, 4, 6, 7, 3]",7,((Constant/x[0]/(Constant*x[0]))+x[1]+Constant+Constant**Constant),((0.032867941697182435/x[0]/(0.6742850884780694*x[0]))+x[1]+0.8225815394178345+0.9659235414855526**0.1783039356865388),[0.03286794 0.67428509 0.82258154 0.96592354 0.17830394],3937.822905745538,"{'fitness 25': 4269.224082319507, 'fitness 53': 3986.844813407916, 'fitness 74': 3852.190031520261, 'fitness 102': 3692.0546033968453}",False
94,"[[0], [1], [0, 3], [3, 2], [0, 1], [0, 3, 1], [1, 0, 0, 0, 0], [0, 0, 1, 1]]",3987.1214178400433,"[1, 1, 2, 2, 1, 3, 4, 3]",7,(Constant+(x[0]/x[0]**Constant)-x[1]),(0.4272973749924116+(x[0]/x[0]**0.20851983522134698)-x[1]),[0.42729737 0.20851984],3938.0767033942943,"{'fitness 25': 4269.448398850269, 'fitness 53': 3987.1214178400433, 'fitness 74': 3852.45806361861, 'fitness 102': 3692.323647714005}",False
95,"[[0], [0], [3, 2], [0, 0, 3, 3], [0, 1, 2, 1], [1, 0, 3, 2, 2, 3, 1], [0, 0, 0, 0, 0], [0, 1, 0, 1, 1]]",3987.4794667702836,"[1, 1, 2, 1, 2, 4, 5, 5]",7,x[0]-(x[1]+x[0]/(x[1]*x[1])**Constant),x[0]-(x[1]+x[0]/(x[1]*x[1])**0.44771894575710014),[0.44771895],3938.433661917396,"{'fitness 25': 4269.814198948528, 'fitness 53': 3987.4794667702836, 'fitness 74': 3852.809848605044, 'fitness 102': 3692.6769381986155}",False
96,"[[0], [0], [2, 0], [0, 0, 3], [0, 1, 0, 2], [3, 0, 2, 3, 2, 1, 3], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 1, 1, 0, 1]]",4067.230488142183,"[1, 1, 2, 3, 4, 7, 8, 6]",7,(Constant/x[0]+(x[1]*x[1])**Constant)/x[1]*x[0]-x[1]/Constant,(0.11823036829553846/x[0]+(x[1]*x[1])**0.6853854744878847)/x[1]*x[0]-x[1]/0.9760107522500119,[0.11823037 0.68538547 0.97601075],4016.980176731633,"{'fitness 25': 4356.45468175142, 'fitness 53': 4067.230488142183, 'fitness 74': 3929.028884141881, 'fitness 102': 3765.456964301598}",False
97,"[[0], [0], [1, 2], [3, 0, 3], [0, 2], [3, 2, 3, 1], [1, 0, 0, 1, 1], [0, 1]]",4096.917354265208,"[1, 1, 2, 3, 2, 4, 5, 2]",7,(Constant/x[0]*x[1]/Constant)-(Constant**Constant),(0.6481041482941504/x[0]*x[1]/0.7366845952012627)-(0.38080041346234117**0.5921059641992998),[0.64810415 0.7366846  0.38080041 0.59210596],4043.9127773306113,"{'fitness 25': 4750.59912175792, 'fitness 53': 4096.917354265208, 'fitness 74': 3729.8741339982735, 'fitness 102': 3651.265076235638}",False
98,"[[0], [0], [1, 0], [0, 0, 3, 1], [0, 2, 0, 1, 1, 1], [2, 0, 3, 3, 3, 0, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1], [1, 0, 0, 0, 0]]",9796.063058491796,"[1, 1, 2, 4, 6, 11, 12, 5]",7,(Constant*Constant+x[1]/x[0]/x[0]/(Constant+x[0]))-Constant+((Constant+x[0])+(Constant+Constant)),(0.9411963498627123*0.43080424570949727+x[1]/x[0]/x[0]/(0.28367348800546+x[0]))-0.2246505633916206+((0.9433546496523304+x[0])+(0.36389059060349604+0.7296821271031574)),"[0.94119635 0.43080425 0.28367349 0.22465056 0.94335465 0.36389059
 0.72968213]",9866.871992245593,"{'fitness 25': 13454.09146670531, 'fitness 53': 9796.063058491796, 'fitness 74': 7611.060757776502, 'fitness 102': 8535.463752254967}",False
99,"[[0], [2], [1], [2, 0, 2], [1, 0, 2, 1], [0, 0, 3, 2, 2, 3, 1], [1, 0, 0, 1, 0], [0, 0, 1, 1, 0, 1]]",32541.23887759576,"[1, 1, 1, 2, 3, 4, 5, 3]",7,((((Constant+x[0])**Constant)+x[0]/Constant*x[1])**Constant),((((0.96497026059038+x[0])**0.3667842918135894)+x[0]/0.04021126058720792*x[1])**0.9014827206143804),[0.96497026 0.36678429 0.04021126 0.90148272],32307.12896888021,"{'fitness 25': 33665.1150041568, 'fitness 53': 32541.23887759576, 'fitness 74': 32325.317538532596, 'fitness 102': 30930.95436395122}",False
